time_x,current_performance,target_performance,cpu_node_percentage,net_node_percentage,io_node_percentage
73,0.000000,1000000.000000,0.083333,0.008333,0.119209
77,2.000000,1000000.000000,0.083333,0.008333,0.119209
80,2.000000,1000000.000000,0.083333,0.008333,0.119209
84,2.000000,1000000.000000,0.083333,0.008333,0.119209
88,2.000000,1000000.000000,0.083333,0.008333,0.119209
92,2.000000,1000000.000000,0.083333,0.008333,0.119209
96,2.000000,1000000.000000,0.083333,0.008333,0.119209
99,2.000000,1000000.000000,0.083333,0.008333,0.119209
103,2.000000,1000000.000000,0.083333,0.008333,0.119209
107,2.000000,1000000.000000,0.083333,0.008333,0.119209
111,2.000000,1000000.000000,0.083333,0.008333,0.119209
115,2.000000,1000000.000000,0.083333,0.008333,0.119209
119,2.000000,1000000.000000,0.083333,0.008333,0.119209
123,2.000000,1000000.000000,0.083333,0.008333,0.119209
128,2.000000,1000000.000000,0.083333,0.008333,0.119209
132,2.000000,1000000.000000,0.083333,0.008333,0.119209
136,2.000000,1000000.000000,0.083333,0.008333,0.119209
140,2.000000,1000000.000000,0.083333,0.008333,0.119209
144,2.000000,1000000.000000,0.083333,0.008333,0.119209
148,2.000000,1000000.000000,0.083333,0.008333,0.119209
153,2.000000,1000000.000000,0.083333,0.008333,0.119209
157,2.000000,1000000.000000,0.083333,0.008333,0.119209
161,2.000000,1000000.000000,0.083333,0.008333,0.119209
165,2.000000,1000000.000000,0.083333,0.008333,0.119209
169,2.000000,1000000.000000,0.083333,0.008333,0.119209
173,2.000000,1000000.000000,0.083333,0.008333,0.119209
178,2.000000,1000000.000000,0.083333,0.008333,0.119209
182,2.000000,1000000.000000,0.083333,0.008333,0.119209
186,2.000000,1000000.000000,0.083333,0.008333,0.119209
190,2.000000,1000000.000000,0.083333,0.008333,0.119209
194,2.000000,1000000.000000,0.083333,0.008333,0.119209
198,2.000000,1000000.000000,0.083333,0.008333,0.119209
203,2.000000,1000000.000000,0.083333,0.008333,0.119209
207,2.000000,1000000.000000,0.083333,0.008333,0.119209
211,2.000000,1000000.000000,0.083333,0.008333,0.119209
215,2.000000,1000000.000000,0.083333,0.008333,0.119209
219,2.000000,1000000.000000,0.083333,0.008333,0.119209
223,2.000000,1000000.000000,0.083333,0.008333,0.119209
227,2.000000,1000000.000000,0.083333,0.008333,0.119209
231,2.000000,1000000.000000,0.083333,0.008333,0.119209
235,2.000000,1000000.000000,0.083333,0.008333,0.119209
239,2.000000,1000000.000000,0.083333,0.008333,0.119209
243,2.000000,1000000.000000,0.083333,0.008333,0.119209
247,2.000000,1000000.000000,0.083333,0.008333,0.119209
252,2.000000,1000000.000000,0.083333,0.008333,0.119209
256,2.000000,1000000.000000,0.083333,0.008333,0.119209
260,2.000000,1000000.000000,0.083333,0.008333,0.119209
264,2.000000,1000000.000000,0.083333,0.008333,0.119209
268,2.000000,1000000.000000,0.083333,0.008333,0.119209
272,2.000000,1000000.000000,0.083333,0.008333,0.119209
276,2.000000,1000000.000000,0.083333,0.008333,0.119209
280,2.000000,1000000.000000,0.083333,0.008333,0.119209
284,2.000000,1000000.000000,0.083333,0.008333,0.119209
288,2.000000,1000000.000000,0.083333,0.008333,0.119209
292,2.000000,1000000.000000,0.083333,0.008333,0.119209
295,2.000000,1000000.000000,0.083333,0.008333,0.119209
299,2.000000,1000000.000000,0.083333,0.008333,0.119209
304,2.000000,1000000.000000,0.083333,0.008333,0.119209
308,2.000000,1000000.000000,0.083333,0.008333,0.119209
312,2.000000,1000000.000000,0.083333,0.008333,0.119209
316,2.000000,1000000.000000,0.083333,0.008333,0.119209
320,2.000000,1000000.000000,0.083333,0.008333,0.119209
324,2.000000,1000000.000000,0.083333,0.008333,0.119209
329,2.000000,1000000.000000,0.083333,0.008333,0.119209
333,2.000000,1000000.000000,0.083333,0.008333,0.119209
337,2.000000,1000000.000000,0.083333,0.008333,0.119209
341,2.000000,1000000.000000,0.083333,0.008333,0.119209
345,2.000000,1000000.000000,0.083333,0.008333,0.119209
349,2.000000,1000000.000000,0.083333,0.008333,0.119209
354,2.000000,1000000.000000,0.083333,0.008333,0.119209
358,2.000000,1000000.000000,0.083333,0.008333,0.119209
362,2.000000,1000000.000000,0.083333,0.008333,0.119209
366,2.000000,1000000.000000,0.083333,0.008333,0.119209
370,2.000000,1000000.000000,0.083333,0.008333,0.119209
374,820000.000000,1000000.000000,0.083333,0.008333,0.119209
380,810000.000000,1000000.000000,0.094167,0.008333,0.119209
384,980000.000000,1000000.000000,0.094167,0.012292,0.119209
389,910000.000000,1000000.000000,0.094167,0.012292,0.119209
393,1010000.000000,1000000.000000,0.094167,0.012292,0.119209
398,1000000.000000,1000000.000000,0.094167,0.012292,0.119209
403,910000.000000,1000000.000000,0.094167,0.012292,0.119209
408,1010000.000000,1000000.000000,0.094167,0.012292,0.119209
412,940000.000000,1000000.000000,0.094167,0.012292,0.119209
417,940000.000000,1000000.000000,0.094167,0.012292,0.119209
422,980000.000000,1000000.000000,0.094167,0.012292,0.119209
427,1000000.000000,1000000.000000,0.094167,0.012292,0.119209
432,930000.000000,1000000.000000,0.094167,0.012292,0.119209
436,940000.000000,1000000.000000,0.094167,0.012292,0.119209
442,1020000.000000,1000000.000000,0.094167,0.012292,0.119209
446,900000.000000,1000000.000000,0.094167,0.012292,0.119209
451,940000.000000,500000.000000,0.094167,0.012292,0.119209
457,470000.000000,500000.000000,0.039167,0.012292,0.119209
462,380000.000000,500000.000000,0.039167,0.012292,0.119209
468,530000.000000,500000.000000,0.054167,0.012292,0.119209
473,540000.000000,500000.000000,0.054167,0.012292,0.119209
479,560000.000000,500000.000000,0.054167,0.012292,0.119209
483,560000.000000,500000.000000,0.054167,0.012292,0.119209
487,510000.000000,500000.000000,0.054167,0.012292,0.119209
492,550000.000000,500000.000000,0.054167,0.012292,0.119209
497,540000.000000,500000.000000,0.054167,0.012292,0.119209
501,500000.000000,500000.000000,0.054167,0.012292,0.119209
506,630000.000000,500000.000000,0.054167,0.012292,0.119209
512,430000.000000,500000.000000,0.038333,0.012292,0.119209
517,370000.000000,500000.000000,0.038333,0.015208,0.119209
522,370000.000000,500000.000000,0.038333,0.015208,0.122309
528,560000.000000,500000.000000,0.054167,0.015208,0.122309
533,550000.000000,500000.000000,0.054167,0.015208,0.122309
537,520000.000000,500000.000000,0.054167,0.015208,0.122309
542,540000.000000,500000.000000,0.054167,0.015208,0.122309
546,530000.000000,500000.000000,0.054167,0.015208,0.122309
551,520000.000000,500000.000000,0.054167,0.015208,0.122309
555,530000.000000,500000.000000,0.054167,0.015208,0.122309
560,550000.000000,500000.000000,0.054167,0.015208,0.122309
564,550000.000000,500000.000000,0.054167,0.015208,0.122309
569,630000.000000,500000.000000,0.054167,0.015208,0.122309
574,520000.000000,500000.000000,0.038333,0.015208,0.122309
579,390000.000000,500000.000000,0.038333,0.015208,0.122309
584,390000.000000,800000.000000,0.051667,0.015208,0.122309
589,480000.000000,800000.000000,0.051667,0.025885,0.122309
593,490000.000000,800000.000000,0.051667,0.025885,0.127077
599,760000.000000,800000.000000,0.075833,0.025885,0.127077
604,730000.000000,800000.000000,0.075833,0.025885,0.127077
609,740000.000000,800000.000000,0.075833,0.025885,0.127077
613,800000.000000,800000.000000,0.075833,0.025885,0.127077
618,720000.000000,800000.000000,0.075833,0.025885,0.127077
623,790000.000000,800000.000000,0.075833,0.025885,0.127077
628,830000.000000,800000.000000,0.075833,0.025885,0.127077
633,770000.000000,800000.000000,0.075833,0.025885,0.127077
637,740000.000000,800000.000000,0.075833,0.025885,0.127077
642,730000.000000,800000.000000,0.075833,0.025885,0.127077
647,770000.000000,800000.000000,0.075833,0.025885,0.127077
651,760000.000000,800000.000000,0.075833,0.025885,0.127077
656,790000.000000,800000.000000,0.075833,0.025885,0.127077
660,830000.000000,800000.000000,0.075833,0.025885,0.127077
665,780000.000000,800000.000000,0.075833,0.025885,0.127077
670,810000.000000,800000.000000,0.075833,0.025885,0.127077
675,830000.000000,800000.000000,0.075833,0.025885,0.127077
679,810000.000000,800000.000000,0.075833,0.025885,0.127077
684,750000.000000,800000.000000,0.075833,0.025885,0.127077
689,770000.000000,800000.000000,0.075833,0.025885,0.127077
694,780000.000000,800000.000000,0.075833,0.025885,0.127077
699,840000.000000,1100000.000000,0.075833,0.025885,0.127077
705,910000.000000,1100000.000000,0.090000,0.025885,0.127077
710,990000.000000,1100000.000000,0.090000,0.029483,0.127077
714,910000.000000,1100000.000000,0.090000,0.029483,0.127077
720,1000000.000000,1100000.000000,0.100000,0.029483,0.127077
725,1120000.000000,1100000.000000,0.100000,0.029483,0.127077
729,1110000.000000,1100000.000000,0.100000,0.029483,0.127077
733,1070000.000000,1100000.000000,0.100000,0.029483,0.127077
738,1120000.000000,1100000.000000,0.100000,0.029483,0.127077
743,960000.000000,1100000.000000,0.100000,0.029483,0.127077
749,1100000.000000,1100000.000000,0.107500,0.029483,0.127077
754,1070000.000000,1100000.000000,0.107500,0.029483,0.127077
759,1120000.000000,1100000.000000,0.107500,0.029483,0.127077
764,1110000.000000,1100000.000000,0.107500,0.029483,0.127077
769,1080000.000000,1100000.000000,0.107500,0.029483,0.127077
773,1000000.000000,1100000.000000,0.107500,0.029483,0.127077
777,1060000.000000,1100000.000000,0.107500,0.029483,0.127077
782,1110000.000000,1100000.000000,0.107500,0.029483,0.127077
787,1160000.000000,1100000.000000,0.107500,0.029483,0.127077
791,1100000.000000,1100000.000000,0.107500,0.029483,0.127077
797,1130000.000000,1100000.000000,0.107500,0.029483,0.127077
801,1100000.000000,1100000.000000,0.107500,0.029483,0.127077
805,1100000.000000,650000.000000,0.107500,0.029483,0.127077
811,680000.000000,650000.000000,0.065000,0.029483,0.127077
816,650000.000000,650000.000000,0.065000,0.029483,0.127077
